EPOCH;D LOSS;G LOSS
241;-5.280095;-2.071045
242;-5.113477;-1.801153
243;-5.262772;-1.387540
244;-4.990735;-0.572371
245;-7.569501;-1.452020
246;-8.768958;-2.122263
247;-6.331583;-1.525768
248;-3.541534;-1.317951
249;-5.204989;-1.692838
250;-5.356746;-0.813952
251;-5.042889;-0.007167
252;-6.803902;-1.708085
253;-2.516930;-0.074310
254;-6.915265;-0.864642
255;-4.647341;-0.830125
256;-6.150949;0.339634
257;-6.077779;-0.993292
258;-5.962055;-0.933477
259;-6.664676;-0.746970
260;-5.087897;-0.027990
261;-5.659620;-1.902406
262;-7.346000;-0.866919
263;-7.022552;-0.659672
264;-5.912388;-1.786782
265;-6.051353;-1.354571
266;-6.320153;-1.091761
267;-6.095679;-0.154007
268;-3.973704;-1.694691
269;-4.988698;0.374351
270;-7.499416;-0.465370
271;-5.753993;0.342011
272;-7.514293;-3.019355
273;-4.971392;0.033921
274;-5.049651;-0.271977
275;-5.565707;-1.538371
276;-5.971074;-1.023875
277;-5.720852;-1.825531
278;-5.683406;0.059474
279;-7.675634;-1.932885
280;-6.017666;-1.032026
281;-5.527915;-1.834276
282;-4.583091;-3.148897
283;-5.552744;-2.329384
284;-5.292100;-1.031217
285;-6.899219;-1.398944
286;-6.030620;-0.626261
287;-4.063694;-1.238152
288;-6.849855;-0.297692
289;-5.641963;-1.615914
290;-6.961559;-0.605434
291;-7.008816;-1.255238
292;-5.868407;-1.193241
293;-6.394255;-1.406637
294;-5.501971;-0.211525
295;-5.009635;-1.240245
296;-5.076099;-1.919618
297;-6.822099;0.219608
298;-5.660765;-0.637742
299;-5.406180;-0.502624
300;-8.841459;-0.058873
301;-3.878800;0.057499
302;-6.377919;-0.007100
303;-8.020557;-1.461900
304;-5.483978;-2.037553
305;-6.019717;-0.562591
306;-5.469373;-0.831877
307;-6.766065;-1.066206
308;-4.976243;-0.745377
309;-4.687603;-1.446461
310;-5.530682;-0.098730
311;-4.727612;-1.767306
312;-4.444949;-1.114960
313;-4.377871;-1.264221
314;-4.505173;-0.434772
315;-6.280974;-0.202942
316;-3.788470;-1.210073
317;-6.725489;-1.826633
318;-4.459428;-2.143937
319;-6.641167;-1.671374
320;-3.880186;-0.946049
321;-6.065486;-1.901558
322;-4.249923;-2.832769
323;-3.772365;-1.352893
324;-3.537234;0.209491
325;-4.064189;-1.883954
326;-4.406757;-0.172698
327;-4.130632;-1.531626
328;-5.308062;-0.906959
329;-3.574242;-0.232849
330;-4.535141;-0.518810
331;-6.678035;-0.461066
332;-5.388603;-2.198290
333;-5.809767;0.718018
334;-3.983217;-1.539494
335;-6.018556;-0.481808
336;-7.357461;-0.835050
337;-8.046933;-1.234184
338;-5.721636;-1.273855
339;-6.026495;-1.685780
340;-5.961288;-2.161680
341;-6.671314;-1.146487
342;-4.579490;-1.951572
343;-6.022523;-2.619878
344;-3.794347;-0.254620
345;-5.413899;-1.656221
346;-5.032156;-2.944059
347;-4.513895;-1.332310
348;-9.125510;-0.722499
349;-6.284134;-0.530286
350;-5.751938;-0.762565
351;-4.513037;-2.413817
352;-6.426475;-0.292244
353;-5.950809;-1.483295
354;-5.326233;-1.332537
355;-7.057213;0.058657
356;-5.992848;-1.727791
357;-6.380109;-0.309971
358;-5.651924;-0.993339
359;-2.594134;-1.163253
360;-5.121698;-1.298036
361;-5.557493;-1.069419
362;-5.581422;-1.257260
363;-4.483525;-0.805989
364;-4.698710;-1.124132
365;-5.381197;-0.199770
366;-5.815590;-1.895063
367;-4.956108;-2.006653
368;-5.117463;-0.269665
369;-4.197322;-1.667351
370;-4.503126;0.361798
371;-4.257529;-1.589577
372;-4.927759;-0.459931
373;-7.970517;-1.911043
374;-3.936366;0.191091
375;-6.990531;-1.581346
376;-7.061975;-0.731824
377;-6.594627;-0.554595
378;-5.517645;-1.297667
379;-7.629052;-1.664989
380;-4.841247;-0.477302
381;-6.655576;-1.002802
382;-5.569989;-0.023881
383;-6.830616;-0.217258
384;-6.736817;-0.861414
385;-4.494196;-2.112652
386;-4.512126;-1.296294
387;-6.971720;-1.103362
388;-7.006103;-2.104860
389;-3.415181;-0.455020
390;-7.908174;-2.166718
391;-6.760648;-1.521188
392;-4.617484;-1.950681
393;-5.701292;-1.323845
394;-7.018816;-1.437222
395;-5.404488;0.098806
396;-6.082714;-0.744163
397;-6.142182;0.224423
398;-4.427056;-1.492452
399;-7.448021;-0.647998
400;-7.296476;-0.807091
401;-6.432766;-0.463122
402;-3.912842;-1.237020
403;-5.458594;-0.525774
404;-5.948218;-0.069547
405;-4.594465;0.750259
406;-5.847169;-0.611205
407;-8.052628;-1.098936
408;-4.365492;-0.790578
409;-5.732888;-0.323432
410;-4.406926;-1.309268
411;-6.510367;-1.451923
412;-6.913292;-2.530719
413;-4.880186;0.540915
414;-4.711425;-0.076279
415;-6.488101;-0.449110
416;-4.118374;-1.140612
417;-5.157052;-0.393183
418;-4.049992;-1.149816
419;-5.075322;-0.870634
420;-6.335520;-0.599933
421;-4.114348;0.403884
422;-6.483878;-2.387254
423;-5.157586;0.552020
424;-6.697346;-0.190126
425;-4.310650;-2.539559
426;-6.231510;-1.973061
427;-5.687774;-0.997064
428;-5.376690;-0.008040
429;-4.484035;-0.581243
430;-5.470319;-1.318979
431;-5.958040;0.848560
432;-5.684671;-2.106989
433;-3.870778;-0.923355
434;-6.799506;-2.060763
435;-6.789781;-1.210157
436;-5.464610;-0.327739
437;-1.816765;-1.894935
438;-4.380775;-1.749701
439;-3.980218;-0.384082
440;-6.601113;-0.803058
441;-6.118960;-1.199864
442;-4.382362;-1.071621
443;-5.872798;-1.848916
444;-5.667549;-1.500172
445;-4.804683;0.085912
446;-4.593999;-1.641279
447;-7.116904;-0.644695
448;-8.402397;0.313233
449;-5.315494;-0.691966
450;-4.142980;-0.179011
451;-4.528623;-0.477907
452;-7.188807;0.478668
453;-7.449484;0.368538
454;-4.831266;-0.827371
455;-2.364774;-2.372710
456;-3.958347;-1.157610
457;-6.006151;-1.439945
458;-5.238482;0.112951
459;-3.088292;-0.568833
460;-3.788277;-0.701065
461;-5.824757;-0.380809
462;-4.395670;-1.201996
463;-7.405518;-2.627974
464;-4.178319;-1.488075
465;-5.196868;-0.449919
466;-5.539417;-1.336614
467;-4.890488;-1.055493
468;-5.509471;-0.545784
469;-4.395174;-0.762417
470;-6.351678;-0.317389
471;-6.154504;-1.527483
472;-5.059370;0.035463
473;-4.047478;-1.729842
474;-4.250056;-0.548730
475;-4.799869;-1.434262
476;-4.729907;-0.283576
477;-5.948987;-1.220426
478;-6.057669;-1.105816
479;-5.605161;-1.052624
480;-5.188927;-1.516292
481;-4.483255;-0.479367
482;-5.915570;-0.973703
483;-7.369283;0.120904
484;-5.384268;0.058016
485;-4.097603;-0.831192
486;-4.655512;-0.910384
487;-4.817558;-0.260899
488;-4.855410;-1.076033
489;-6.993175;-1.189682
490;-4.526572;-0.356659
491;-6.498277;-0.583676
492;-6.749275;-0.742583
493;-3.474686;0.218712
494;-5.221895;0.024371
495;-6.807364;-0.787252
496;-4.932743;-0.999705
497;-4.065016;-0.615486
498;-6.513709;-1.010363
499;-4.330754;-0.762024
500;-4.301479;0.417704
